# Branching ratios for ClO -> ,(1) CL+O
# lambda ,br_ratio_1
230.0,1.0
235.0,1.0
240.0,1.0
245.0,1.0
250.0,1.0
255.0,1.0
257.5,1.0
262.5,1.0
267.5,1.0
272.5,1.0
277.5,1.0
282.5,1.0
287.5,1.0
292.5,1.0
297.5,1.0
302.5,1.0
307.5,1.0
312.5,1.0
317.5,1.0
322.5,1.0
