# Branching ratios for SO2 -> ,(1) SO+O,(2) S+O2,(3) S+2O
# lambda ,br_ratio_1,br_ratio_2,br_ratio_3
64.0,0.49992984144165814,0.3000781766792952,0.19999198187904665
66.0,0.5,0.3000182548375319,0.19998174516246806
68.0,0.5,0.30003074085459575,0.19996925914540425
70.0,0.49990558912386707,0.30003776435045315,0.20005664652567975
72.0,0.4999556776881482,0.30001772892474077,0.2000265933871111
74.0,0.50002729406627,0.29996178830722203,0.200010917626508
76.0,0.5,0.3000163853842373,0.19998361461576275
76.46000000000001,0.5000346236410221,0.2999792258153868,0.19998615054359117
77.03999999999999,0.5,0.2999850902042642,0.2000149097957358
78.0,0.49999999999999994,0.2999810498389236,0.20001895016107638
79.02000000000001,0.5,0.300022060445621,0.199977939554379
80.0,0.5,0.3000514006682086,0.1999485993317913
82.0,0.5,0.3,0.2
83.42,0.5,0.29994903160040776,0.20005096839959224
84.0,0.5000783576241968,0.2999529854254819,0.19996865695032126
86.0,0.5,0.2999519692603266,0.20004803073967337
88.0,0.5,0.3,0.2
90.0,0.5,0.2999874245472837,0.20001257545271628
92.0,0.5000000000000001,0.3000108956199608,0.19998910438003925
92.31,0.5,0.2999727483308353,0.20002725166916477
93.34,0.4999534926983537,0.3000186029206586,0.2000279043809878
93.78,0.5,0.3,0.2
94.0,0.5000176435301176,0.2999752990578355,0.20000705741204702
94.97,0.5000130893478887,0.3000078536087332,0.19997905704337812
96.0,0.4999497369567402,0.3000368595650571,0.2000134034782026
97.25,0.5000158333069444,0.2999778333702777,0.20000633332277779
97.7,0.5000276717029166,0.2999612596159168,0.20001106868116666
98.0,0.5000885635000296,0.2999350534333117,0.19997638306665882
99.1,0.5000143930452805,0.29995106364604623,0.20003454330867326
100.0,0.4999333777481679,0.3000666222518321,0.2
102.0,0.49991809097362533,0.3000600666193415,0.20002184240703327
102.57000000000001,0.4999692893556906,0.3000122842577237,0.20001842638658557
103.5,0.4999366634294642,0.300046446818393,0.2000168897521429
106.0,0.5,0.3,0.19999999999999998
111.0,0.5215499002599286,0.3000060448528078,0.17844405488726348
115.5,0.7000340097494615,0.2999659902505385,0.0
119.0,0.7000103982530934,0.29998960174690653,0.0
121.0,0.6999625506417458,0.30003744935825416,0.0
121.57000000000001,0.7000000000000001,0.3,0.0
125.0,0.7000135189941868,0.29998648100581315,0.0
130.0,0.7754720692368213,0.22452793076317862,0.0
135.0,0.9499971664431306,0.050002833556869485,0.0
140.0,0.9500095245870411,0.04999047541295888,0.0
145.0,0.9499943560221245,0.0500056439778756,0.0
150.0,0.9500009648598059,0.04999903514019413,0.0
155.0,0.9499986330954919,0.05000136690450805,0.0
160.0,0.9499895050259265,0.05001049497407353,0.0
165.0,0.9667462129072422,0.033253787092757836,0.0
170.0,0.9899999387376276,0.010000061262372446,0.0
175.0,0.9900048419450784,0.00999515805492149,0.0
180.0,0.9899981396008115,0.010001860399188512,0.0
185.0,0.9900019135093762,0.009998086490623804,0.0
190.0,0.9900001449487768,0.009999855051223288,0.0
195.0,0.9899998154461062,0.01000018455389369,0.0
200.0,0.989998839897803,0.01000116010219691,0.0
205.0,0.9900005729365018,0.009999427063498217,0.0
210.0,0.994960972235945,0.005039027764054935,0.0
215.0,1.0,0.0,0.0
220.0,1.0,0.0,0.0
