#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
14        	4         	ok              	9.2560000000e+01	1.5397000000e+03	8.0107718696e+20	4.3541512708e+20	2.3702236123e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	4         	ok              	7.8090000000e+01	1.5318000000e+03	6.7931829979e+20	3.6924075863e+20	2.3701844736e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	5         	ok              	6.5890000000e+01	1.5268000000e+03	5.7505313967e+20	3.1257456338e+20	2.3701335344e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	5         	ok              	5.5590000000e+01	1.5218000000e+03	4.8674188217e+20	2.6457900033e+20	2.3700735035e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	5         	ok              	4.6900000000e+01	1.5175000000e+03	4.1180391762e+20	2.2385171186e+20	2.3700009630e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	6         	ok              	3.9570000000e+01	1.5186000000e+03	3.4717612563e+20	1.8872912729e+20	2.3698965586e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	6         	ok              	3.3380000000e+01	1.5246000000e+03	2.9169642010e+20	1.5857937208e+20	2.3697518809e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	7         	ok              	2.8160000000e+01	1.5274000000e+03	2.4561381566e+20	1.3353531682e+20	2.3696004257e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	7         	ok              	2.3760000000e+01	1.5263000000e+03	2.0737331807e+20	1.1275162482e+20	2.3694553767e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	8         	ok              	2.0050000000e+01	1.5310000000e+03	1.7444233876e+20	9.4853959236e+19	2.3692719240e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
