# Branching ratios for S4 -> ,(1) 2S2
# lambda ,br_ratio_1
430.0,1.0
440.0,1.0
450.0,1.0
460.0,1.0
470.0,1.0
480.0,1.0
490.0,1.0
500.0,1.0
510.0,1.0
520.0,1.0
530.0,1.0
540.0,1.0
550.0,1.0
560.0,1.0
570.0,1.0
